ROUTE,vols,annulations,distance,taux_annulation,origine,destination,rang,part_routes_cumulee,part_annulations_cumulee
ORD -> ICT,2190,79,588.0,3.6073059360730597,ORD,ICT,225,4.7943746004687835,33.33752716458881
TYR -> DFW,1612,79,102.0,4.900744416873449,TYR,DFW,226,4.815682932026422,33.42788516527508
EWR -> CVG,1515,79,569.0,5.214521452145215,EWR,CVG,227,4.836991263584061,33.518243165961344
DFW -> AMA,1202,79,312.0,6.572379367720465,DFW,AMA,228,4.8582995951417,33.6086011666476
ORD -> LIT,2031,78,552.0,3.8404726735598227,ORD,LIT,229,4.8796079266993395,33.69781539517328
MDW -> PHL,1892,78,668.0,4.12262156448203,MDW,PHL,230,4.900916258256979,33.78702962369896
AZO -> ORD,1326,78,122.0,5.88235294117647,AZO,ORD,231,4.9222245898146175,33.87624385222463
DCA -> DFW,3178,77,1192.0,2.4229074889867843,DCA,DFW,232,4.943532921372257,33.96431430858973
DFW -> EWR,2501,77,1372.0,3.078768492602959,DFW,EWR,233,4.9648412529298955,34.052384764954816
MDW -> BNA,2100,77,395.0,3.6666666666666665,MDW,BNA,234,4.986149584487535,34.14045522131992
ORD -> TYS,2099,77,475.0,3.668413530252501,ORD,TYS,235,5.0074579160451735,34.228525677685006
STL -> EWR,1864,77,872.0,4.130901287553648,STL,EWR,236,5.028766247602813,34.3165961340501
SJT -> DFW,1628,77,229.0,4.72972972972973,SJT,DFW,237,5.0500745791604515,34.40466659041519
ORD -> DEN,5613,76,888.0,1.3539996436843043,ORD,DEN,238,5.07138291071809,34.491593274619696
LAS -> PHX,5499,76,255.0,1.38206946717585,LAS,PHX,239,5.09269124227573,34.5785199588242
ATL -> MDW,4544,76,591.0,1.6725352112676055,ATL,MDW,240,5.113999573833369,34.66544664302871
ORD -> AZO,1326,76,122.0,5.731523378582202,ORD,AZO,241,5.1353079053910085,34.752373327233215
MCO -> PHL,4867,75,861.0,1.540990343127183,MCO,PHL,242,5.156616236948647,34.83815623927713
ATL -> BOS,4685,75,946.0,1.6008537886872998,ATL,BOS,243,5.1779245685062865,34.92393915132106
LAS -> DFW,4289,75,1055.0,1.7486593611564467,LAS,DFW,244,5.199232900063925,35.009722063364975
ORD -> IAH,4186,75,925.0,1.79168657429527,ORD,IAH,245,5.2205412316215645,35.0955049754089
DFW -> DCA,3177,75,1192.0,2.3607176581680833,DFW,DCA,246,5.241849563179203,35.18128788745282
SGF -> DFW,2221,75,364.0,3.376857271499325,SGF,DFW,247,5.263157894736842,35.26707079949674
FAR -> ORD,2101,75,557.0,3.5697287006187532,FAR,ORD,248,5.284466226294481,35.35285371154066
BWI -> MDW,1976,74,611.0,3.7449392712550607,BWI,MDW,249,5.30577455785212,35.437492851424
DFW -> TYR,1611,74,102.0,4.5934202358783365,DFW,TYR,250,5.327082889409759,35.52213199130733
ATW -> ORD,1434,74,160.0,5.160390516039052,ATW,ORD,251,5.3483912209673985,35.60677113119067
ATL -> PHL,6608,73,666.0,1.104721549636804,ATL,PHL,252,5.369699552525038,35.69026649891342
DEN -> ORD,5567,73,888.0,1.3112987246272678,DEN,ORD,253,5.3910078840826765,35.773761866636164
SFO -> EWR,5025,73,2565.0,1.4527363184079602,SFO,EWR,254,5.412316215640316,35.85725723435891
MDW -> ATL,4533,73,591.0,1.6104125303331127,MDW,ATL,255,5.4336245471979545,35.940752602081666
CLT -> BOS,3590,73,728.0,2.033426183844011,CLT,BOS,256,5.454932878755593,36.024247969804414
MDW -> MSP,2979,73,349.0,2.450486740516952,MDW,MSP,257,5.4762412103132325,36.10774333752717
